Titles
accountant
accounting
actuary
administrative
admnistration
auditor
bank
barber
barista
baupolier
broker
carpenter
chauffeur
cleaner
clerk
commerce
cook
cooker
credit
dancer
driver
einkauf
einkaufer
factory farming
farmer
finance
financial
foundry worker
fuel
gas
graphic
hairdresser
historian
hostess
housekeeper
hr
hunter
insurance
investment
janitor
koch
marketing
mechanic
miner
music
nanny
oil
operating department
pesticide
plumber
producer
real estate
receptionist
sales
secretary
sekretar
seller
singer
software
steward
tax
taxy driver
telematiker/in
telephone operator
waiter
waitress
weapons research
worksite
